symbol	KEGG_ko
FOXG_00100	K00838
FOXG_00158	K15102
FOXG_00193	K01537
FOXG_00249	K00294
FOXG_00449	K18703
FOXG_00600	K01739
FOXG_00645	K13237
FOXG_00935	K03857
FOXG_01156	K07304
FOXG_01159	K01655
FOXG_01161	K01754
FOXG_01208	K04618
FOXG_01266	K07025,K18551
FOXG_01301	K01915
FOXG_01304	K01647
FOXG_01328	K11811
FOXG_01440	K01725
FOXG_01464	K01104
FOXG_01626	K00262
FOXG_01669	K15105
FOXG_01905	K09244
FOXG_02003	K00693
FOXG_02011	K00074
FOXG_02093	K17775
FOXG_02315	K01649
FOXG_02807	K01739
FOXG_18413	K01537
FOXG_02846	K19791
FOXG_02921	K22277
FOXG_03141	K16075
FOXG_03192	K17877
FOXG_03197	K01443
FOXG_03221	K00311
FOXG_03312	K01969
FOXG_03447	K15104
FOXG_03463	K00451
FOXG_03473	K01951,K22314
FOXG_03547	K03448
FOXG_03600	K00958
FOXG_03770	K10534
FOXG_03900	K00276
FOXG_03961	K00616
FOXG_04181	K10534
FOXG_04207	K03522
FOXG_04307	K00236
FOXG_04540	K00140
FOXG_04752	K08157
FOXG_04866	K08141
FOXG_04868	K01424
FOXG_04992	K01181
FOXG_05034	K09780
FOXG_05287	K01754
FOXG_05288	K00053
FOXG_05325	K02891
FOXG_05378	K03785
FOXG_05383	K17742
FOXG_05543	K18337
FOXG_05657	K17742
FOXG_05719	K00326
FOXG_05738	K00318
FOXG_05776	K15102
FOXG_05882	K10862
FOXG_06001	K00166
FOXG_06028	K00547
FOXG_06140	K00589
FOXG_06186	K09827
FOXG_06208	K00826
FOXG_06252	K03521
FOXG_06292	K01702
FOXG_06303	K00008
FOXG_06307	K01850
FOXG_06351	K01954,K11541
FOXG_06418	K03854,K10967
FOXG_07525	K08197
FOXG_07651	K01852
FOXG_07706	K00457
FOXG_07826	K00052
FOXG_07841	K00122
FOXG_08032	K01653
FOXG_08042	K00600
FOXG_08390	K00226,K00254
FOXG_08416	K00272,K00273
FOXG_08485	K15084
FOXG_08649	K01505
FOXG_08652	K06215
FOXG_08653	K08681
FOXG_08668	K08139
FOXG_08699	K00826
FOXG_08765	K00559
FOXG_08912	K16261
FOXG_08976	K01455
FOXG_08977	K00641
FOXG_08978	K00463
FOXG_09318	K20403
FOXG_09685	K09831
FOXG_09783	K22151
FOXG_09889	K00598,K11426
FOXG_09943	K00276
FOXG_10036	K09246
FOXG_10052	K01184,K01213
FOXG_10073	K00598
FOXG_10320	K18163
FOXG_10376	K01505
FOXG_10426	K01763,K20247
FOXG_10620	K08139
FOXG_11029	K16261
FOXG_11133	K00818
FOXG_11264	K13577
FOXG_11323	K05824
FOXG_11420	K07734
FOXG_11427	K08178
FOXG_11545	K05917
FOXG_11556	K01652
FOXG_17777	K16261
FOXG_11699	K01293
FOXG_11724	K01684
FOXG_11752	K00286
FOXG_11975	K00826
FOXG_11984	K08157
FOXG_11983	K00480
FOXG_12125	K03327
FOXG_12267	K08139
FOXG_12279	K18693
FOXG_12324	K16261
FOXG_12350	K15877
FOXG_12357	K01426
FOXG_12362	K01078
FOXG_12736	K00252
FOXG_12825	K16261
FOXG_12834	K22243
FOXG_12873	K01824
FOXG_12894	K09022
FOXG_12923	K13348
FOXG_21057	K04450,K09047
FOXG_13067	K01533
FOXG_13157	K14454
FOXG_13320	K17740
FOXG_13350	K16261
FOXG_13404	K14708
FOXG_13544	K03448
FOXG_13566	K01178
FOXG_13660	K00826
FOXG_13686	K01607
FOXG_13752	K04563,K05916
FOXG_13790	K09022
FOXG_13797	K01940
FOXG_13821	K01634
FOXG_13905	K22149
FOXG_14498	K01568
FOXG_14504	K01181
FOXG_14510	K01519
FOXG_14656	K18107
FOXG_15473	K01183
FOXG_15474	K01126
FOXG_15633	K05658
FOXG_15714	K08197
FOXG_15752	K01800
FOXG_15753	K01555
FOXG_16528	K00489
FOXG_16582	K01187
FOXG_17028	K04563,K05916
FOXG_17187	K01279
